Date : 2021-10-06 20:21:51
Directory : c:\Users\digan\Downloads\Petziee.com\dev
Total : 142 files,  51368 codes, 8693 comments, 9458 blanks, all 69519 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| Petziee\shopingweb\js                                                                                                                                                                             |          2 |          9 |         49 |          1 |         59 |
| Petziee\shopingweb\login                                                                                                                                                                          |          4 |        340 |        356 |        149 |        845 |
| Petziee\shopingweb\navbar                                                                                                                                                                         |          1 |        131 |          0 |          2 |        133 |
| Petziee\shopingweb\payment                                                                                                                                                                        |          6 |        568 |        327 |        160 |      1,055 |
| Petziee\shopingweb\payment\all css                                                                                                                                                                |          3 |         11 |         42 |          4 |         57 |
| Petziee\shopingweb\products                                                                                                                                                                       |          2 |        978 |        158 |        245 |      1,381 |
| Petziee\shopingweb\security                                                                                                                                                                       |          3 |      1,320 |        118 |        226 |      1,664 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                          | language       | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\.VSCodeCounter\2021-08-26_03-28-10\details.md                                                                                                    | Markdown       |         87 |          0 |          6 |         93 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\.VSCodeCounter\2021-08-26_03-28-10\results.md                                                                                                    | Markdown       |         28 |          0 |          7 |         35 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\.github\workflows\firebase-hosting-merge.yml                                                                                                     | YAML           |         16 |          2 |          2 |         20 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\.github\workflows\firebase-hosting-pull-request.yml                                                                                              | YAML           |         13 |          2 |          2 |         17 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\backend\UpdateProduct.html                                                                                                                       | HTML           |         93 |          0 |         14 |        107 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\backend\UpdateProduct.js                                                                                                                         | JavaScript     |         39 |         14 |         14 |         67 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\backend\index.css                                                                                                                                | CSS            |        423 |          1 |         65 |        489 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\backend\index.html                                                                                                                               | HTML           |        131 |         31 |         69 |        231 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\backend\index.js                                                                                                                                 | JavaScript     |         29 |        138 |         40 |        207 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\backend\temp.htm                                                                                                                                 | HTML           |        617 |        225 |        181 |      1,023 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\backend\temp1.html                                                                                                                               | HTML           |        504 |         99 |          3 |        606 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\firebase.json                                                                                                                                    | JSON           |         12 |         43 |          0 |         55 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\firestore.rules                                                                                                                                  | Firebase Rules |         11 |          0 |          2 |         13 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\functions\.eslintrc.js                                                                                                                           | JavaScript     |         14 |          0 |          1 |         15 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\functions\index.js                                                                                                                               | JavaScript     |        205 |         64 |         62 |        331 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\functions\package-lock.json                                                                                                                      | JSON           |      3,041 |          0 |          1 |      3,042 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\functions\package.json                                                                                                                           | JSON           |         30 |          0 |          1 |         31 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\about.html                                                                                                                            | HTML           |         81 |          0 |          5 |         86 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\address\address.css                                                                                                                   | CSS            |        210 |         10 |         44 |        264 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\address\address.html                                                                                                                  | HTML           |        266 |         65 |         58 |        389 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\app.js                                                                                                                                | JavaScript     |         12 |          0 |          5 |         17 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\blog\Jquery3.4.1.min.js                                                                                                               | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\blog\all.css                                                                                                                          | CSS            |      2,963 |          6 |      1,427 |      4,396 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\blog\aos.css                                                                                                                          | CSS            |          1 |          0 |          1 |          2 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\blog\aos.js                                                                                                                           | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\blog\b1.html                                                                                                                          | HTML           |        120 |        173 |         49 |        342 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\blog\b2.html                                                                                                                          | HTML           |        131 |        173 |         61 |        365 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\blog\b3.html                                                                                                                          | HTML           |        129 |        173 |         81 |        383 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\blog\b4.html                                                                                                                          | HTML           |        129 |        173 |         82 |        384 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\blog\blog.css                                                                                                                         | CSS            |        703 |         81 |        154 |        938 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\blog\blog.html                                                                                                                        | HTML           |        156 |        173 |         61 |        390 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\blog\blog1.html                                                                                                                       | HTML           |        132 |        173 |         57 |        362 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\blog\blog11.html                                                                                                                      | HTML           |        120 |        173 |         49 |        342 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\blog\blog2.html                                                                                                                       | HTML           |        131 |        173 |         70 |        374 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\blog\blog3.html                                                                                                                       | HTML           |        122 |        173 |         52 |        347 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\blog\font.css                                                                                                                         | CSS            |         20 |          5 |          4 |         29 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\blog\index.html                                                                                                                       | HTML           |        312 |        109 |         42 |        463 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\blog\main.js                                                                                                                          | JavaScript     |         36 |          4 |          8 |         48 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\blog\owl.carousel.min.js                                                                                                              | JavaScript     |          2 |          5 |          1 |          8 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\blog\owl.css                                                                                                                          | CSS            |          1 |          5 |          0 |          6 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\blog\owndefault.css                                                                                                                   | CSS            |          1 |          5 |          1 |          7 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\blog\style.css                                                                                                                        | CSS            |        683 |         33 |        162 |        878 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\cart\all css\bootstrap.min.css                                                                                                        | CSS            |          4 |          6 |          3 |         13 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\cart\all css\mdb-pro.min.css                                                                                                          | CSS            |          6 |         27 |          0 |         33 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\cart\all css\mdb.ecommerce.min.css                                                                                                    | CSS            |          1 |          9 |          2 |         12 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\cart\cart.html                                                                                                                        | HTML           |        206 |        117 |         50 |        373 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\cart\cart.js                                                                                                                          | JavaScript     |        236 |         28 |         63 |        327 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\cart\product js\js\bootstrap.js                                                                                                       | JavaScript     |      3,347 |        325 |        850 |      4,522 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\cart\product js\js\mdb.ecommerce.min.js                                                                                               | JavaScript     |          1 |          1 |          0 |          2 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\cart\product js\js\mdb.min.js                                                                                                         | JavaScript     |          1 |          0 |          0 |          1 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\cart\product js\js\popper.min.js                                                                                                      | JavaScript     |          1 |          4 |          1 |          6 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\cart\style.css                                                                                                                        | CSS            |        159 |          7 |         34 |        200 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\characters.json                                                                                                                       | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\contact us\contact.css                                                                                                                | CSS            |        405 |         38 |         78 |        521 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\contact us\contact.html                                                                                                               | HTML           |        216 |         78 |         74 |        368 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\css\flickity.min.css                                                                                                                  | CSS            |          1 |          3 |          0 |          4 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\css\w3.css                                                                                                                            | CSS            |        231 |          4 |          0 |        235 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\246FNqIC6nryIVGeLIvd.html                                                                                                          | HTML           |        542 |        194 |        127 |        863 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\9P84VdB4lxgwMXXPLiVr.html                                                                                                          | HTML           |        566 |        136 |        127 |        829 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\B1iMGCRSJy7tzdBWiewj.html                                                                                                          | HTML           |        676 |        145 |        142 |        963 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\FLRcw25DSxifwqGDSHVe.html                                                                                                          | HTML           |        415 |         56 |          3 |        474 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\GQbklfOI0xHGM1JlseyO.html                                                                                                          | HTML           |        473 |         74 |          3 |        550 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\H6JNVtOaDlZV1C8AnOJH.html                                                                                                          | HTML           |        417 |         56 |          3 |        476 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\H8WXGSfM9xytaSZORxq9.html                                                                                                          | HTML           |        417 |         56 |          3 |        476 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\LRTWr4RVHTo6FIxfy91M.html                                                                                                          | HTML           |        473 |         74 |          3 |        550 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\LehVdQAZNcxuKE8KV9nC.html                                                                                                          | HTML           |        679 |        145 |        144 |        968 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\Mj4dcF3U7mvNeO3Sv6S7.html                                                                                                          | HTML           |        725 |        151 |        136 |      1,012 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\NKvcDapiemsb2UhT5rQy.html                                                                                                          | HTML           |        481 |         65 |          3 |        549 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\QpraZU0K417VvLQRGumo.html                                                                                                          | HTML           |        483 |         65 |          3 |        551 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\aV31whJvauTWgGJguWDO.html                                                                                                          | HTML           |        417 |         56 |          3 |        476 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\dMeE1tAwy3HhZ2kzuU2Q.html                                                                                                          | HTML           |        417 |         56 |          3 |        476 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\eas8a5ibEXCpOF3s4p2n.html                                                                                                          | HTML           |        417 |         56 |          3 |        476 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\js\price.js                                                                                                                        | JavaScript     |         85 |         46 |         29 |        160 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\kSSbTL7wgoT1sMr31q3J.html                                                                                                          | HTML           |        417 |         56 |          3 |        476 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\kbu4BdauMfR0ZjDLmBg2.html                                                                                                          | HTML           |        483 |         65 |          3 |        551 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\mnAroUrCpZgQMceKKs4L.html                                                                                                          | HTML           |        417 |         56 |          3 |        476 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\nFGYh45SVhBL8PiD8SVq.html                                                                                                          | HTML           |        465 |         74 |          3 |        542 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\njvOIvPEtS3oVx3cvGNc.html                                                                                                          | HTML           |        471 |         74 |          3 |        548 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\pQ3zSpRem5aGbr8JqcWC.html                                                                                                          | HTML           |        483 |         65 |          3 |        551 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\pXly0d1kclbnnIbTnHpO.html                                                                                                          | HTML           |        495 |         65 |          3 |        563 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\all css\bootstrap.min.css                                                                                              | CSS            |          4 |          6 |          2 |         12 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\all css\mdb-pro.min.css                                                                                                | CSS            |          6 |         27 |          0 |         33 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\all css\mdb.ecommerce.min.css                                                                                          | CSS            |          1 |          9 |          2 |         12 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\drools css\Drools Chicken and Egg Adult Dog Food, 18kg (15kg + 3kg Free Inside).css                                    | CSS            |        664 |         48 |        134 |        846 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\drools css\Drools Chicken and Egg Adult Dog Food, 18kg (15kg + 3kg Free Inside).html                                   | HTML           |        804 |        191 |        200 |      1,195 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\drools css\drools.css                                                                                                  | CSS            |        704 |         49 |        139 |        892 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\n & d css\FARMINA ND Ancestral Grain - Chicken _ Pomegranate - Dog Dry Food - Puppy - Medium _ Maxi Breed 2.5 kg.css   | CSS            |        663 |         49 |        136 |        848 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\n & d css\FARMINA N_D Ancestral Grain - Chicken _ Pomegranate - Dog Dry Food - Puppy - Medium _ Maxi Breed 2.5 kg.html | HTML           |        846 |        194 |        205 |      1,245 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\n & d css\Farmmina N & D.css                                                                                           | CSS            |        701 |         49 |        143 |        893 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\pedigri css\pedigri.css                                                                                                | CSS            |        615 |         43 |        126 |        784 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\pedigri css\pedigri1.css                                                                                               | CSS            |        573 |         36 |        113 |        722 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\pedigri css\pedigri1.html                                                                                              | HTML           |        689 |        162 |        168 |      1,019 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\royal canin css\Royal Canin Labrador Retriever Puppy Dry Dog Food.css                                                  | CSS            |        596 |         38 |        126 |        760 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\royal canin css\Royal Canin Labrador Retriever Puppy Dry Dog Food.html                                                 | HTML           |        697 |        210 |        173 |      1,080 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product js\js\bootstrap.js                                                                                                         | JavaScript     |      3,347 |        325 |        850 |      4,522 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product js\js\mdb.ecommerce.min.js                                                                                                 | JavaScript     |          1 |          1 |          0 |          2 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product js\js\mdb.min.js                                                                                                           | JavaScript     |          1 |          0 |          0 |          1 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product js\js\popper.min.js                                                                                                        | JavaScript     |          1 |          4 |          1 |          6 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\s7sBCbSff4gystEMf9aQ.html                                                                                                          | HTML           |        471 |         74 |          3 |        548 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\templetes\droolsTemplete.html                                                                                                      | HTML           |        599 |        151 |        135 |        885 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\templetes\pedigreeTemplete.html                                                                                                    | HTML           |        490 |        136 |        112 |        738 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\templetes\trial.html                                                                                                               | HTML           |        413 |         56 |          3 |        472 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\zImDO7mm7u57WebdFDtN.html                                                                                                          | HTML           |        417 |         56 |          3 |        476 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\eror.html                                                                                                                             | HTML           |         17 |          0 |          1 |         18 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\event\event.html                                                                                                                      | HTML           |         87 |          0 |         15 |        102 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\footer.html                                                                                                                           | HTML           |         46 |          9 |         12 |         67 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\graficcard.html                                                                                                                       | HTML           |          0 |          1 |          0 |          1 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\index.html                                                                                                                            | HTML           |      1,136 |        294 |        147 |      1,577 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\js\app.js                                                                                                                             | JavaScript     |          1 |          1 |          1 |          3 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\js\flickity.pkgd.min.js                                                                                                               | JavaScript     |          8 |         48 |          0 |         56 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\lightslider.css                                                                                                                       | CSS            |        350 |         16 |         26 |        392 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\lightslider.js                                                                                                                        | JavaScript     |      1,102 |         11 |         28 |      1,141 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\login\login.css                                                                                                                       | CSS            |        213 |        256 |         94 |        563 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\login\login.html                                                                                                                      | HTML           |         65 |         28 |         19 |        112 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\login\login.js                                                                                                                        | JavaScript     |         17 |          6 |         11 |         34 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\login\otp.js                                                                                                                          | JavaScript     |         45 |         66 |         25 |        136 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\main.js                                                                                                                               | JavaScript     |         17 |         13 |         14 |         44 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\navbar.html                                                                                                                           | HTML           |         46 |          3 |          9 |         58 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\navbar\navbar.css                                                                                                                     | CSS            |        131 |          0 |          2 |        133 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\payment\all css\bootstrap.min.css                                                                                                     | CSS            |          4 |          6 |          2 |         12 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\payment\all css\mdb-pro.min.css                                                                                                       | CSS            |          6 |         27 |          0 |         33 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\payment\all css\mdb.ecommerce.min.css                                                                                                 | CSS            |          1 |          9 |          2 |         12 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\payment\payment.css                                                                                                                   | CSS            |        178 |          8 |         38 |        224 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\payment\payment.html                                                                                                                  | HTML           |        219 |        152 |         54 |        425 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\payment\payment.js                                                                                                                    | JavaScript     |        160 |        125 |         64 |        349 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\product.html                                                                                                                          | HTML           |        364 |          2 |         30 |        396 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\products\products.css                                                                                                                 | CSS            |        405 |         38 |         78 |        521 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\products\products.html                                                                                                                | HTML           |        573 |        120 |        167 |        860 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\rufe.html                                                                                                                             | HTML           |          0 |         59 |          0 |         59 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\ryzen.html                                                                                                                            | HTML           |        217 |          8 |         21 |        246 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\searchbar.js                                                                                                                          | JavaScript     |         72 |         33 |         10 |        115 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\security\refund policy.html                                                                                                           | HTML           |        171 |         33 |         17 |        221 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\security\terams.css                                                                                                                   | CSS            |        716 |         52 |        152 |        920 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\security\terms and condition.html                                                                                                     | HTML           |        433 |         33 |         57 |        523 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\style.css                                                                                                                             | CSS            |      2,572 |        222 |        492 |      3,286 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\style1.css                                                                                                                            | CSS            |        713 |         15 |        164 |        892 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\try.css                                                                                                                               | CSS            |         91 |          0 |         16 |        107 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\try.html                                                                                                                              | HTML           |         25 |          0 |          1 |         26 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\try.js                                                                                                                                | JavaScript     |        113 |         42 |         29 |        184 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\try2.css                                                                                                                              | CSS            |        191 |          5 |         15 |        211 |
| c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\try2.html                                                                                                                             | HTML           |         17 |          1 |          5 |         23 |
